Time (sec),SetpointLivingZone,Text.T
620100,16,4.28539
621000,16,4.3
621900,16,4.31479
622800,16,4.32981
623700,16,4.34506
624600,16,4.36053
625500,16,4.3762
626400,16,4.39208
627300,16,4.40815
628200,16,4.4244
629100,16,4.44082
630000,21,4.45741
630900,21,4.47415
631800,21,4.49104
632700,21,4.50807
633600,21,4.52522
634500,21,4.5425
635400,21,4.55989
636300,21,4.57738
637200,21,4.59496
638100,21,4.61263
639000,21,4.63037
639900,21,4.64818
640800,21,4.66605
641700,21,4.68396
642600,21,4.70192
643500,21,4.71991
644400,21,4.73792
645300,21,4.75594
646200,21,4.77397
647100,21,4.79199
648000,21,4.81
648900,21,4.82799
649800,21,4.84594
650700,21,4.86386
651600,21,4.88173
652500,21,4.89954
653400,21,4.91728
654300,21,4.93495
655200,21,4.95253
656100,21,4.97002
657000,21,4.98741
657900,21,5.00468
658800,21,5.02184
659700,21,5.03887
660600,21,5.05576
661500,21,5.0725
662400,21,5.08909
663300,21,5.10551
664200,21,5.12176
665100,21,5.13783
666000,21,5.1537
666900,21,5.16938
667800,21,5.18485
668700,21,5.2001
669600,21,5.21512
670500,21,5.22991
671400,21,5.24445
672300,21,5.25874
673200,21,5.27277
674100,21,5.28652
675000,21,5.3
675900,21,5.31326
676800,21,5.32637
677700,21,5.33934
678600,21,5.35217
679500,21,5.36485
680400,21,5.3774
681300,21,5.38981
682200,21,5.40208
683100,16,5.41423
684000,16,5.42623
684900,16,5.43811
685800,16,5.44987
686700,16,5.46149
687600,16,5.473
688500,16,5.48438
689400,16,5.49563
690300,16,5.50678
691200,16,5.5178
692100,16,5.52871
693000,16,5.53951
693900,16,5.55019
694800,16,5.56077
695700,16,5.57124
696600,16,5.5816
697500,16,5.59186
698400,16,5.60202
699300,16,5.61207
700200,16,5.62203
701100,16,5.6319
702000,16,5.64167
702900,16,5.65134
703800,16,5.66093
704700,16,5.67042
705600,16,5.67983
706500,16,5.68916
707400,16,5.6984
708300,16,5.70756
709200,16,5.71664
710100,16,5.72564
711000,16,5.73457
711900,16,5.74342
712800,16,5.7522
713700,16,5.76091
714600,16,5.76955
715500,16,5.77812
716400,21,5.78663
717300,21,5.79508
718200,21,5.80347
719100,21,5.81179
720000,21,5.82006
720900,21,5.82828
721800,21,5.83643
722700,21,5.84454
723600,21,5.8526
724500,21,5.86061
725400,21,5.86857
726300,21,5.87649
727200,21,5.88437
728100,21,5.8922
729000,21,5.9
729900,21,5.90774
